id,short_date,long_date,day_of_week,month_name,day_in_year,week_in_year,month_id,days_in_month,day_of_month,quarter,year,days_in_year,short_persian_date,Long_persian_date,persian_day,persian_month,persian_year,persian_weekday,persian_month_name,is_leep_year,hijri_short_date,hijri_long_date,hijri_day,hijri_month,hijri_year,hijri_month_name,is_weekend,is_holiday
1,1/1/2000,"Saturday, January 1, 2000",Saturday,January,1,52,1,31,1,1,2000,366,11/10/1378,"شنبه, 11 دی 1378",11,10,1378,سه شنبه,فروردین,0,25/09/1420,25 رمضان 1420,25,9,1420,شوال,0,0
2,1/2/2000,"Sunday, January 2, 2000",Sunday,January,2,52,1,31,2,1,2000,366,12/10/1378,"يكشنبه, 12 دی 1378",12,10,1378,سه شنبه,فروردین,0,26/09/1420,26 رمضان 1420,26,9,1420,شوال,0,0
3,1/3/2000,"Monday, January 3, 2000",Monday,January,3,1,1,31,3,1,2000,366,13/10/1378,"دوشنبه, 13 دی 1378",13,10,1378,سه شنبه,فروردین,0,27/09/1420,27 رمضان 1420,27,9,1420,شوال,0,0
4,1/4/2000,"Tuesday, January 4, 2000",Tuesday,January,4,1,1,31,4,1,2000,366,14/10/1378,"سه شنبه, 14 دی 1378",14,10,1378,سه شنبه,فروردین,0,28/09/1420,28 رمضان 1420,28,9,1420,شوال,0,0
5,1/5/2000,"Wednesday, January 5, 2000",Wednesday,January,5,1,1,31,5,1,2000,366,15/10/1378,"چهارشنبه, 15 دی 1378",15,10,1378,سه شنبه,فروردین,0,29/09/1420,29 رمضان 1420,29,9,1420,شوال,0,0
6,1/6/2000,"Thursday, January 6, 2000",Thursday,January,6,1,1,31,6,1,2000,366,16/10/1378,"پنجشنبه, 16 دی 1378",16,10,1378,سه شنبه,فروردین,0,30/09/1420,30 رمضان 1420,30,9,1420,شوال,0,0
7,1/7/2000,"Friday, January 7, 2000",Friday,January,7,1,1,31,7,1,2000,366,17/10/1378,"جمعه, 17 دی 1378",17,10,1378,سه شنبه,فروردین,0,1/10/1420,1 شوال 1420,1,10,1420,شوال,0,0
8,1/8/2000,"Saturday, January 8, 2000",Saturday,January,8,1,1,31,8,1,2000,366,18/10/1378,"شنبه, 18 دی 1378",18,10,1378,سه شنبه,فروردین,0,2/10/1420,2 شوال 1420,2,10,1420,شوال,0,0
9,1/9/2000,"Sunday, January 9, 2000",Sunday,January,9,1,1,31,9,1,2000,366,19/10/1378,"يكشنبه, 19 دی 1378",19,10,1378,سه شنبه,فروردین,0,3/10/1420,3 شوال 1420,3,10,1420,شوال,0,0
10,1/10/2000,"Monday, January 10, 2000",Monday,January,10,2,1,31,10,1,2000,366,20/10/1378,"دوشنبه, 20 دی 1378",20,10,1378,سه شنبه,فروردین,0,4/10/1420,4 شوال 1420,4,10,1420,شوال,0,0
11,1/11/2000,"Tuesday, January 11, 2000",Tuesday,January,11,2,1,31,11,1,2000,366,21/10/1378,"سه شنبه, 21 دی 1378",21,10,1378,سه شنبه,فروردین,0,5/10/1420,5 شوال 1420,5,10,1420,شوال,0,0
12,1/12/2000,"Wednesday, January 12, 2000",Wednesday,January,12,2,1,31,12,1,2000,366,22/10/1378,"چهارشنبه, 22 دی 1378",22,10,1378,سه شنبه,فروردین,0,6/10/1420,6 شوال 1420,6,10,1420,شوال,0,0
13,1/13/2000,"Thursday, January 13, 2000",Thursday,January,13,2,1,31,13,1,2000,366,23/10/1378,"پنجشنبه, 23 دی 1378",23,10,1378,سه شنبه,فروردین,0,7/10/1420,7 شوال 1420,7,10,1420,شوال,0,0
14,1/14/2000,"Friday, January 14, 2000",Friday,January,14,2,1,31,14,1,2000,366,24/10/1378,"جمعه, 24 دی 1378",24,10,1378,سه شنبه,فروردین,0,8/10/1420,8 شوال 1420,8,10,1420,شوال,0,0
15,1/15/2000,"Saturday, January 15, 2000",Saturday,January,15,2,1,31,15,1,2000,366,25/10/1378,"شنبه, 25 دی 1378",25,10,1378,سه شنبه,فروردین,0,9/10/1420,9 شوال 1420,9,10,1420,شوال,0,0
16,1/16/2000,"Sunday, January 16, 2000",Sunday,January,16,2,1,31,16,1,2000,366,26/10/1378,"يكشنبه, 26 دی 1378",26,10,1378,سه شنبه,فروردین,0,10/10/1420,10 شوال 1420,10,10,1420,شوال,0,0
17,1/17/2000,"Monday, January 17, 2000",Monday,January,17,3,1,31,17,1,2000,366,27/10/1378,"دوشنبه, 27 دی 1378",27,10,1378,سه شنبه,فروردین,0,11/10/1420,11 شوال 1420,11,10,1420,شوال,0,0
18,1/18/2000,"Tuesday, January 18, 2000",Tuesday,January,18,3,1,31,18,1,2000,366,28/10/1378,"سه شنبه, 28 دی 1378",28,10,1378,سه شنبه,فروردین,0,12/10/1420,12 شوال 1420,12,10,1420,شوال,0,0
19,1/19/2000,"Wednesday, January 19, 2000",Wednesday,January,19,3,1,31,19,1,2000,366,29/10/1378,"چهارشنبه, 29 دی 1378",29,10,1378,سه شنبه,فروردین,0,13/10/1420,13 شوال 1420,13,10,1420,شوال,0,0
20,1/20/2000,"Thursday, January 20, 2000",Thursday,January,20,3,1,31,20,1,2000,366,30/10/1378,"پنجشنبه, 30 دی 1378",30,10,1378,سه شنبه,فروردین,0,14/10/1420,14 شوال 1420,14,10,1420,شوال,0,0
21,1/21/2000,"Friday, January 21, 2000",Friday,January,21,3,1,31,21,1,2000,366,01/11/1378,"جمعه, 1 بهمن 1378",01,11,1378,سه شنبه,فروردین,0,15/10/1420,15 شوال 1420,15,10,1420,شوال,0,0
22,1/22/2000,"Saturday, January 22, 2000",Saturday,January,22,3,1,31,22,1,2000,366,02/11/1378,"شنبه, 2 بهمن 1378",02,11,1378,سه شنبه,فروردین,0,16/10/1420,16 شوال 1420,16,10,1420,شوال,0,0
23,1/23/2000,"Sunday, January 23, 2000",Sunday,January,23,3,1,31,23,1,2000,366,03/11/1378,"يكشنبه, 3 بهمن 1378",03,11,1378,سه شنبه,فروردین,0,17/10/1420,17 شوال 1420,17,10,1420,شوال,0,0
24,1/24/2000,"Monday, January 24, 2000",Monday,January,24,4,1,31,24,1,2000,366,04/11/1378,"دوشنبه, 4 بهمن 1378",04,11,1378,سه شنبه,فروردین,0,18/10/1420,18 شوال 1420,18,10,1420,شوال,0,0
25,1/25/2000,"Tuesday, January 25, 2000",Tuesday,January,25,4,1,31,25,1,2000,366,05/11/1378,"سه شنبه, 5 بهمن 1378",05,11,1378,سه شنبه,فروردین,0,19/10/1420,19 شوال 1420,19,10,1420,شوال,0,0
26,1/26/2000,"Wednesday, January 26, 2000",Wednesday,January,26,4,1,31,26,1,2000,366,06/11/1378,"چهارشنبه, 6 بهمن 1378",06,11,1378,سه شنبه,فروردین,0,20/10/1420,20 شوال 1420,20,10,1420,شوال,0,0
27,1/27/2000,"Thursday, January 27, 2000",Thursday,January,27,4,1,31,27,1,2000,366,07/11/1378,"پنجشنبه, 7 بهمن 1378",07,11,1378,سه شنبه,فروردین,0,21/10/1420,21 شوال 1420,21,10,1420,شوال,0,0
28,1/28/2000,"Friday, January 28, 2000",Friday,January,28,4,1,31,28,1,2000,366,08/11/1378,"جمعه, 8 بهمن 1378",08,11,1378,سه شنبه,فروردین,0,22/10/1420,22 شوال 1420,22,10,1420,شوال,0,0
29,1/29/2000,"Saturday, January 29, 2000",Saturday,January,29,4,1,31,29,1,2000,366,09/11/1378,"شنبه, 9 بهمن 1378",09,11,1378,سه شنبه,فروردین,0,23/10/1420,23 شوال 1420,23,10,1420,شوال,0,0
30,1/30/2000,"Sunday, January 30, 2000",Sunday,January,30,4,1,31,30,1,2000,366,10/11/1378,"يكشنبه, 10 بهمن 1378",10,11,1378,سه شنبه,فروردین,0,24/10/1420,24 شوال 1420,24,10,1420,شوال,0,0
31,1/31/2000,"Monday, January 31, 2000",Monday,January,31,5,1,31,31,1,2000,366,11/11/1378,"دوشنبه, 11 بهمن 1378",11,11,1378,سه شنبه,فروردین,0,25/10/1420,25 شوال 1420,25,10,1420,شوال,0,0
